B2,B3,B4,B5,B6,B7
0.0352,0.0536,0.0435,0.2468,0.1321,0.0721
0.0228,0.0429,0.0297,0.2125,0.10515,0.0541
0.0303,0.05165,0.0339,0.2286,0.0943,0.0558
0.032,0.0523,0.0377,0.2509,0.10095,0.0553
0.0289,0.0472,0.03825,0.2443,0.12555,0.0636
0.0326,0.0651,0.0411,0.2742,0.0931,0.0494
0.03765,0.0623,0.04485,0.1928,0.0686,0.03665
0.0156,0.02745,0.0117,0.13945,0.0354,0.018
0.02465,0.04635,0.0308,0.23075,0.103,0.05175
0.0459,0.06715,0.064,0.28125,0.20605,0.1144
0.06195,0.09235,0.08695,0.3099,0.2503,0.157
0.0577,0.0857,0.0778,0.3371,0.1994,0.1246
0.0432,0.0587,0.0553,0.2163,0.0863,0.0506
0.0426,0.0633,0.0538,0.25655,0.1344,0.06765
0.0245,0.0409,0.0288,0.1973,0.092,0.0456
0.0309,0.0515,0.0392,0.2395,0.1212,0.0636
0.03615,0.06525,0.05195,0.2573,0.13625,0.0716
0.0336,0.0562,0.0511,0.2223,0.1151,0.072
0.035,0.05365,0.0523,0.2086,0.1368,0.08125
0.0214,0.037,0.0253,0.1798,0.094,0.0472
0.0242,0.0464,0.0345,0.2011,0.1064,0.0522
0.0165,0.0325,0.022,0.1699,0.0746,0.039
0.0214,0.0388,0.0294,0.176,0.0978,0.0519
0.0536,0.0659,0.0583,0.0856,0.0869,0.0665
0.0297,0.0504,0.0481,0.1848,0.0852,0.0469
0.01935,0.0407,0.02495,0.2613,0.0852,0.0394
0.0166,0.0327,0.02,0.17385,0.05745,0.02685
0.0217,0.03895,0.02625,0.1853,0.0856,0.0427
0.053,0.0681,0.0537,0.1674,0.077,0.0478
0.03875,0.0555,0.061,0.1634,0.1418,0.10585
0.0724,0.1034,0.1162,0.141,0.206,0.195
0.02015,0.01105,7.0E-4,-8.5E-4,0.005,0.00705
0.0267,0.0157,0.00655,0.0044,0.0081,0.007
0.024,0.01615,0.00705,0.00445,0.00645,0.0055
0.0263,0.0125,0.0048,0.0029,0.0044,0.0047
0.0258,0.0129,0.0064,0.0047,0.006,0.0053
0.0298,0.0157,0.0091,0.0076,0.0097,0.01
0.0252,0.0121,0.0018,0.0012,0.015,0.0164
0.0238,0.0137,0.0078,0.0106,0.0192,0.0183
0.0236,0.0105,0.0041,0.0025,0.0045,0.0045
0.0301,0.0256,0.0191,0.0186,0.0189,0.018
0.0227,0.0211,0.0147,0.0145,0.0141,0.0126
0.0212,0.0257,0.0153,0.0136,0.0153,0.015
0.0184,0.0158,0.0103,0.0096,0.0116,0.0119
0.0366,0.0321,0.0279,0.028,0.0297,0.0292
0.0248,0.018,0.013,0.0121,0.0118,0.0104
0.0206,0.0119,0.0025,9.0E-4,0.0063,0.0066
0.02415,0.0184,0.00915,0.005,0.00955,0.0082
0.0273,0.0208,0.0112,0.0076,0.0089,0.0075
0.0255,0.0162,0.0076,0.0039,0.00695,0.0071
0.0243,0.0196,0.0119,0.0076,0.0082,0.007
0.01925,0.0138,0.0067,0.00445,0.0057,0.00565
0.0162,0.01635,0.00905,0.0081,0.00695,0.00525
0.0232,0.0183,0.0092,0.0071,0.0062,0.0051
0.0201,0.0167,0.0084,0.00485,0.00615,0.0057
0.0317,0.0333,0.0223,0.0215,0.0146,0.0099
0.0203,0.0369,0.0269,0.1975,0.0883,0.0454
0.0148,0.0316,0.0171,0.1927,0.0667,0.0335
0.01905,0.0336,0.022,0.186,0.07225,0.03625
0.0189,0.0383,0.024,0.3416,0.1038,0.041
0.0138,0.023,0.0149,0.1119,0.0472,0.0248
0.02025,0.02785,0.0184,0.1556,0.06575,0.03255
0.0125,0.0229,0.0147,0.2391,0.0761,0.0283
0.01515,0.02895,0.02,0.2066,0.0638,0.03115
0.0191,0.0407,0.0271,0.2665,0.0844,0.039
0.0156,0.0293,0.0153,0.2402,0.0672,0.0244
0.02155,0.03885,0.02435,0.2622,0.1035,0.04355
0.03355,0.0566,0.0461,0.27495,0.1272,0.07105
0.0275,0.04765,0.037,0.3007,0.1202,0.0626
0.01035,0.02775,0.0154,0.2622,0.07315,0.0295
0.0096,0.0274,0.0142,0.2066,0.0738,0.0291
0.01325,0.03695,0.02285,0.2626,0.1127,0.05025
0.0253,0.0329,0.0215,0.1148,0.0673,0.0361
0.0211,0.0184,0.0101,0.0067,0.0055,0.0046
0.02755,0.0218,0.01345,0.00725,0.0078,0.00645
0.0284,0.0235,0.0126,0.0061,0.0054,0.0049
0.0307,0.02605,0.01625,0.00855,0.0073,0.0062
0.033,0.0299,0.0166,0.0057,0.0064,0.0048
0.0405,0.0455,0.0247,0.0072,0.0036,0.0032
0.0541,0.0764,0.0672,0.1163,0.0765,0.049
0.06095,0.0842,0.08625,0.20215,0.15775,0.119
0.03015,0.0574,0.04715,0.3199,0.1358,0.0724
0.0805,0.1011,0.101,0.1574,0.1355,0.1065
0.06855,0.09165,0.09445,0.22325,0.1719,0.1222
0.0525,0.0787,0.0675,0.3252,0.1767,0.1036
0.0552,0.0656,0.065,0.28,0.1287,0.0675
0.0216,0.04,0.0312,0.2755,0.1146,0.0526
0.0134,0.0292,0.0185,0.2269,0.08585,0.03765
